Ground truth | result
26 | 27.552195
27 | 27.289137
23 | 21.725346
73 | 5.1976213
20 | 28.794754
25 | 22.290825
35 | 28.255466
1 | 3.8145041
5 | 28.901966
1 | 3.0591621
30 | 31.458324
44 | 38.724667
27 | 31.4833
34 | 31.394066
1 | 2.2990174
50 | 56.006695
2 | 4.1765947
53 | 48.72901
52 | 43.741776
28 | 25.39827
55 | 41.75267
32 | 30.90318
43 | 43.614902
36 | 32.227177
25 | 20.746786
6 | 12.110925
36 | 34.534916
24 | 22.829416
2 | 3.3224058
44 | 53.889927
16 | 20.616581
63 | 52.708725
2 | 30.465017
36 | 38.06318
64 | 57.470757
25 | 23.21065
33 | 33.78665
19 | 18.529682
28 | 25.662487
46 | 44.11076
2 | 4.3790684
1 | 6.2810082
38 | 42.561836
43 | 42.05367
6 | 7.158142
1 | 2.7366724
62 | 53.076237
33 | 38.287647
60 | 42.98321
35 | 26.729603
22 | 22.782501
28 | 32.260532
51 | 46.351143
27 | 32.61843
31 | 22.1772
27 | 25.717896
26 | 28.234346
20 | 21.991396
38 | 34.637054
45 | 4.83364
38 | 37.847813
56 | 56.76263
7 | 10.397986
27 | 25.76531
70 | 61.88683
16 | 11.518998
56 | 34.844265
24 | 11.484516
55 | 64.22532
28 | 20.278357
26 | 33.914974
39 | 40.531555
26 | 26.255074
41 | 36.664913
23 | 19.402317
10 | 13.038741
19 | 19.893105
10 | 5.0344014
15 | 26.443735
38 | 32.433353
21 | 16.5115
27 | 32.24715
22 | 25.842403
8 | 17.72364
25 | 25.479132
66 | 47.274494
24 | 23.400806
33 | 31.18153
1 | 2.5853715
24 | 16.120928
48 | 45.712803
22 | 29.22736
33 | 39.793808
53 | 56.931053
25 | 25.349993
1 | 0.85341644
28 | 29.165066
38 | 33.832523
27 | 29.244682
24 | 29.981133
61 | 57.720345
35 | 31.74629
23 | 20.836895
20 | 23.743515
21 | 23.220041
5 | 16.666954
26 | 26.220991
63 | 58.91954
22 | 34.601513
5 | 6.005727
18 | 21.46901
7 | 6.0480804
23 | 26.395798
29 | 20.390278
30 | 26.551659
22 | 30.943974
15 | 15.714673
30 | 35.925358
25 | 25.164474
32 | 38.370575
45 | 34.394417
59 | 52.88354
26 | 21.91876
22 | 21.968914
84 | 75.27282
43 | 41.99208
1 | 3.2126317
30 | 27.34357
17 | 21.30102
20 | 22.86509
44 | 38.75562
21 | 20.841408
35 | 36.833736
48 | 42.381855
80 | 70.78237
33 | 27.19291
24 | 26.776001
23 | 18.309528
22 | 30.124565
48 | 49.819576
31 | 26.082691
15 | 20.792034
19 | 18.854445
37 | 39.51087
15 | 36.35066
21 | 19.647266
57 | 43.752697
20 | 18.807901
23 | 27.354404
30 | 33.84274
37 | 35.726192
31 | 43.61633
50 | 20.088924
33 | 41.62273
34 | 26.478611
26 | 21.486961
19 | 20.880257
38 | 40.551914
15 | 17.017849
30 | 30.110168
35 | 39.181362
46 | 40.194145
6 | 3.1213684
59 | 58.955395
31 | 29.60899
74 | 47.53653
61 | 55.197453
17 | 23.952198
28 | 28.830135
33 | 37.518055
15 | 15.887171
51 | 45.372475
4 | 5.913033
39 | 40.905743
53 | 47.732895
6 | 4.5546827
2 | 3.834067
6 | 5.8094625
45 | 31.824644
34 | 29.689682
30 | 36.520462
28 | 28.887823
19 | 17.905842
1 | 1.1270754
24 | 25.460787
24 | 29.791206
5 | 6.6990323
2 | 4.031673
33 | 32.89915
41 | 34.340267
20 | 31.67591
23 | 21.09409
41 | 44.225887
30 | 27.472973
24 | 26.283768
30 | 30.275024
23 | 30.746368
47 | 24.014793
30 | 29.680012
11 | 19.793053
32 | 21.828323
38 | 39.58792
23 | 24.48463
53 | 56.545345
28 | 26.211353
38 | 31.345205
42 | 36.786087
58 | 47.089836
53 | 51.79565
30 | 30.585426
31 | 28.652733
34 | 29.806242
38 | 35.741215
48 | 44.05407
28 | 30.128487
5 | 5.1690836
5 | 6.5712247
46 | 45.093433
19 | 19.553759
51 | 37.34891
20 | 18.134756
28 | 22.217308
41 | 38.357815
21 | 9.435927
22 | 25.762573
17 | 20.167788
1 | 3.5380275
46 | 49.194897
7 | 13.041178
31 | 30.67831
42 | 37.781788
19 | 22.949436
15 | 17.86196
24 | 31.831503
27 | 30.970652
24 | 19.066315
28 | 25.496437
29 | 23.057209
15 | 3.9497814
21 | 23.651691
69 | 54.396717
51 | 47.43578
8 | 13.67459
26 | 31.272839
36 | 44.321964
46 | 32.32103
39 | 38.427814
23 | 20.46496
10 | 26.393204
21 | 22.358837
30 | 31.806736
20 | 22.919355
27 | 29.701326
14 | 17.192211
20 | 21.958118
2 | 2.8568685
47 | 36.29906
20 | 24.644733
22 | 28.591133
25 | 26.058096
50 | 50.7693
1 | 2.630283
27 | 22.998955
29 | 24.7925
19 | 21.452225
12 | 11.727523
7 | 11.131087
18 | 19.577896
56 | 47.49516
49 | 47.467403
32 | 29.423971
29 | 31.618172
49 | 45.617336
18 | 18.9412
36 | 33.689922
26 | 25.191536
23 | 25.074268
23 | 20.637754
21 | 20.616718
31 | 37.79366
30 | 32.449154
53 | 40.4397
2 | 2.6280124
58 | 53.289173
32 | 30.505087
54 | 48.527645
39 | 22.790611
28 | 33.264107
47 | 34.28714
20 | 13.788719
17 | 17.65718
28 | 26.641563
55 | 56.135868
22 | 25.828053
14 | 16.408993
19 | 18.42831
28 | 36.83386
24 | 24.884798
51 | 36.97882
34 | 33.955368
32 | 33.460712
32 | 42.52918
32 | 31.547304
4 | 9.806051
24 | 25.203186
18 | 18.189922
22 | 28.174702
28 | 29.36951
39 | 41.702232
64 | 47.47813
43 | 35.756245
26 | 28.341549
5 | 7.549883
28 | 32.5088
18 | 22.337051
20 | 24.385115
11 | 20.100838
34 | 30.124826
45 | 37.84215
20 | 19.656597
43 | 43.798206
24 | 22.51436
28 | 21.948177
24 | 24.557043
51 | 46.764317
10 | 6.8511815
8 | 5.8347483
24 | 24.481129
34 | 34.18455
21 | 22.153618
22 | 22.864063
18 | 19.82771
18 | 19.895924
27 | 26.661198
32 | 24.424072
14 | 18.474384
28 | 28.729767
38 | 37.10316
29 | 29.394384
42 | 49.37704
62 | 54.281162
67 | 54.442013
25 | 29.433506
17 | 20.729887
5 | 6.190991
15 | 18.664192
14 | 20.626696
37 | 38.84457
7 | 6.515581
59 | 61.63447
36 | 34.341698
30 | 28.071735
19 | 21.93454
42 | 35.893677
44 | 43.61208
21 | 20.776289
25 | 21.043732
39 | 39.922764
48 | 46.51836
21 | 18.099136
11 | 19.369717
51 | 37.677807
3 | 3.90558
18 | 19.121479
45 | 40.245403
69 | 56.390232
24 | 26.010899
24 | 24.496546
52 | 48.9855
37 | 36.19716
55 | 45.70166
27 | 31.06343
31 | 30.92752
32 | 39.0949
8 | 17.928223
32 | 34.397198
6 | 5.715205
22 | 23.070484
28 | 30.418808
29 | 29.56131
17 | 22.642775
33 | 37.1693
18 | 18.182005
24 | 21.996334
28 | 28.77219
37 | 35.29996
11 | 19.506405
37 | 29.585514
28 | 27.595001
21 | 23.658363
21 | 18.147469
31 | 32.047916
40 | 32.021255
36 | 31.768936
63 | 55.060703
31 | 29.714739
7 | 7.8370495
29 | 38.03495
34 | 28.770576
54 | 50.19576
10 | 7.1112404
22 | 26.274067
32 | 29.88567
34 | 28.501247
5 | 4.793642
5 | 7.4107304
31 | 33.416645
53 | 48.734684
25 | 23.091116
27 | 29.097912
22 | 22.11794
43 | 43.89655
33 | 27.634794
11 | 20.48781
17 | 17.24798
28 | 27.087637
33 | 35.289043
49 | 42.635624
37 | 38.39064
39 | 49.26227
40 | 43.715977
21 | 3.3105717
25 | 23.775448
25 | 21.452135
29 | 29.529175
38 | 41.652504
43 | 43.030827
30 | 27.441015
30 | 20.784927
26 | 25.192944
28 | 10.184371
28 | 26.193115
56 | 52.477722
31 | 30.028145
32 | 33.604527
8 | 5.6962814
37 | 41.975918
1 | 0.9511144
1 | 1.5259044
59 | 47.948147
71 | 65.17098
17 | 17.719028
33 | 24.649137
7 | 8.687129
40 | 38.21473
16 | 17.609344
22 | 19.67411
35 | 38.650204
14 | 23.415699
52 | 40.189632
40 | 40.250942
41 | 40.14163
33 | 32.40127
19 | 24.503225
26 | 25.277761
26 | 27.378794
20 | 22.017754
25 | 27.419567
43 | 42.071712
63 | 55.33887
35 | 27.605894
30 | 36.645115
57 | 56.064953
8 | 7.3479595
52 | 53.15057
8 | 24.100237
27 | 21.994354
22 | 25.591373
28 | 24.272625
27 | 25.23196
