Ground truth | result
26 | 27.529175
27 | 24.86718
23 | 23.873608
73 | 5.419534
20 | 29.960003
25 | 23.27275
35 | 35.559525
1 | 3.2361977
5 | 23.126286
1 | 2.167496
30 | 43.733425
44 | 40.57526
27 | 24.892483
34 | 30.237968
1 | 1.78496
50 | 53.65105
2 | 3.75862
53 | 51.990032
52 | 43.795727
28 | 23.97125
55 | 44.96201
32 | 28.431095
43 | 37.884834
36 | 36.68716
25 | 19.862072
6 | 6.4381943
36 | 30.214298
24 | 23.117895
2 | 1.7579134
44 | 49.53496
16 | 19.171085
63 | 54.986305
2 | 26.727924
36 | 41.181995
64 | 59.35801
25 | 25.805557
33 | 35.061768
19 | 21.192543
28 | 27.39596
46 | 41.66007
2 | 3.219704
1 | 3.0570915
38 | 39.041058
43 | 44.64426
6 | 5.138697
1 | 1.9439309
62 | 48.6889
33 | 38.011948
60 | 48.80528
35 | 30.100582
22 | 23.540356
28 | 29.172405
51 | 40.881195
27 | 31.64593
31 | 23.885708
27 | 24.695747
26 | 25.174974
20 | 23.934214
38 | 33.14005
45 | 10.715676
38 | 32.044907
56 | 55.68054
7 | 7.2205434
27 | 27.06934
70 | 69.221146
16 | 16.413317
56 | 35.383804
24 | 21.433044
55 | 60.606045
28 | 19.99942
26 | 33.980503
39 | 38.079594
26 | 24.5402
41 | 36.306713
23 | 21.412418
10 | 15.618705
19 | 20.807121
10 | 6.5509953
15 | 24.462051
38 | 33.260876
21 | 14.722478
27 | 31.173893
22 | 27.810684
8 | 16.664999
25 | 24.127808
66 | 49.529755
24 | 21.070168
33 | 32.09531
1 | 1.4769168
24 | 17.131842
48 | 40.08184
22 | 30.363342
33 | 38.443512
53 | 57.970104
25 | 25.498083
1 | 0.77679116
28 | 29.659576
38 | 32.693268
27 | 28.150211
24 | 33.135677
61 | 54.978676
35 | 31.902685
23 | 21.030945
20 | 20.974289
21 | 26.069551
5 | 13.357254
26 | 25.500572
63 | 60.064693
22 | 28.135916
5 | 5.3742137
18 | 21.49747
7 | 4.5615726
23 | 26.435879
29 | 20.259357
30 | 28.255913
22 | 29.411354
15 | 14.811264
30 | 30.050133
25 | 27.475805
32 | 34.92413
45 | 32.957897
59 | 55.370964
26 | 23.551956
22 | 17.091114
84 | 78.68082
43 | 41.644386
1 | 1.5625564
30 | 28.834675
17 | 22.074846
20 | 22.24282
44 | 51.92803
21 | 21.250622
35 | 40.82707
48 | 49.20799
80 | 68.718796
33 | 26.821707
24 | 27.302635
23 | 21.461596
22 | 24.686047
48 | 47.93108
31 | 24.166578
15 | 16.605494
19 | 20.687645
37 | 36.3381
15 | 41.617393
21 | 15.548949
57 | 46.065697
20 | 18.572655
23 | 24.979805
30 | 31.720812
37 | 33.659237
31 | 48.86687
50 | 9.287817
33 | 43.87739
34 | 27.148344
26 | 21.996572
19 | 21.82725
38 | 42.331913
15 | 19.277431
30 | 31.554987
35 | 39.030064
46 | 37.861355
6 | 2.7496464
59 | 55.841114
31 | 30.495226
74 | 44.05168
61 | 54.026703
17 | 17.60458
28 | 28.119041
33 | 39.524525
15 | 15.750721
51 | 45.716106
4 | 5.719297
39 | 30.408154
53 | 51.536304
6 | 6.802484
2 | 2.1374857
6 | 4.75889
45 | 35.017918
34 | 31.034529
30 | 32.175068
28 | 27.88153
19 | 18.183777
1 | 0.37806806
24 | 22.838737
24 | 26.223543
5 | 7.753944
2 | 2.145933
33 | 31.394464
41 | 35.907597
20 | 34.603325
23 | 20.101513
41 | 43.003933
30 | 26.817272
24 | 26.201096
30 | 29.223566
23 | 32.41382
47 | 16.998196
30 | 32.100582
11 | 8.300383
32 | 20.378387
38 | 35.013588
23 | 22.686054
53 | 52.716038
28 | 27.553963
38 | 33.5525
42 | 36.50381
58 | 48.480026
53 | 23.660383
30 | 28.729965
31 | 28.705513
34 | 27.667696
38 | 38.18899
48 | 49.300068
28 | 28.394753
5 | 4.3699346
5 | 3.6694386
46 | 44.88714
19 | 20.668274
51 | 40.52782
20 | 19.220852
28 | 20.907955
41 | 38.49647
21 | 4.8586297
22 | 24.266605
17 | 21.58124
1 | 1.9497015
46 | 43.77123
7 | 11.383186
31 | 28.443893
42 | 34.588387
19 | 20.684217
15 | 17.748478
24 | 33.112225
27 | 32.24438
24 | 20.307281
28 | 25.81539
29 | 27.816687
15 | 20.034966
21 | 19.54963
69 | 55.48219
51 | 47.826397
8 | 11.158043
26 | 32.48354
36 | 43.64491
46 | 34.010128
39 | 39.090878
23 | 21.291573
10 | 29.485664
21 | 21.277527
30 | 33.065445
20 | 24.441133
27 | 28.701134
14 | 19.01742
20 | 23.049786
2 | 2.5549047
47 | 44.063297
20 | 26.448616
22 | 25.054253
25 | 24.827
50 | 50.305477
1 | 1.8450747
27 | 24.446457
29 | 26.571507
19 | 20.161484
12 | 12.075381
7 | 4.8262053
18 | 19.449898
56 | 47.353107
49 | 43.8665
32 | 29.340307
29 | 32.30936
49 | 44.151756
18 | 19.270933
36 | 31.68394
26 | 25.323788
23 | 28.64377
23 | 22.345901
21 | 19.46003
31 | 36.10607
30 | 29.629421
53 | 53.928677
2 | 1.4252645
58 | 57.991146
32 | 29.420738
54 | 47.708096
39 | 27.37868
28 | 32.638996
47 | 33.061512
20 | 17.839725
17 | 16.703114
28 | 28.105358
55 | 58.12021
22 | 24.091688
14 | 15.936869
19 | 18.405266
28 | 24.322481
24 | 24.693651
51 | 42.977497
34 | 33.00127
32 | 30.95736
32 | 37.288
32 | 32.88692
4 | 8.110206
24 | 28.50648
18 | 17.730042
22 | 23.571054
28 | 27.407797
39 | 41.669777
64 | 49.128445
43 | 39.263607
26 | 25.310522
5 | 6.6935644
28 | 37.503796
18 | 20.12602
20 | 23.898693
11 | 10.645628
34 | 27.864483
45 | 37.98376
20 | 19.276016
43 | 40.00082
24 | 21.76395
28 | 21.402447
24 | 25.341133
51 | 46.23538
10 | 6.0657334
8 | 4.0931525
24 | 25.162676
34 | 37.122166
21 | 18.880878
22 | 23.125835
18 | 21.176937
18 | 21.399635
27 | 25.92583
32 | 25.8614
14 | 17.239899
28 | 27.649899
38 | 35.015766
29 | 27.723127
42 | 46.885574
62 | 52.843494
67 | 62.475834
25 | 29.18121
17 | 21.0364
5 | 4.158975
15 | 17.24053
14 | 22.223526
37 | 40.887627
7 | 5.811385
59 | 62.73701
36 | 32.16183
30 | 27.504564
19 | 19.088558
42 | 37.137234
44 | 42.121384
21 | 19.349712
25 | 22.10622
39 | 39.788975
48 | 48.112885
21 | 17.554611
11 | 24.125431
51 | 40.231815
3 | 2.6930282
